
Bottle acc: 0.6738537407576787, iou: 0.16856646552098944, time 592.9143724441528, total 10
Box acc: 0.6286953194644735, iou: 0.14013394334733825, time 770.83771443367, total 10
Bucket acc: 0.9670569424700437, iou: 0.41100119583745015, time 872.7169291973114, total 10
Camera acc: 0.8584538197125333, iou: 0.2839331586787325, time 1108.8939983844757, total 10
Cart acc: 0.9302611925470373, iou: 0.6393251976538111, time 764.7335979938507, total 10
Chair acc: 0.5590602625883248, iou: 0.44238145860852995, time 2398.122629404068, total 10
Clock acc: 0.9171256457297507, iou: 0.09988327469410412, time 551.9020864963531, total 10
CoffeeMachine acc: 0.5235682401691034, iou: 0.05084233939995968, time 1540.8703317642212, total 10
Dishwasher acc: 0.7852651407796786, iou: 0.17647834598554935, time 839.6548790931702, total 10
Dispenser acc: 0.31507560580247557, iou: 0.1046094282927987, time 842.3402030467987, total 10
Display acc: 0.5393463216441028, iou: 0.3630922100459576, time 822.3471105098724, total 10
Door acc: 0.2121021105313748, iou: 0.1806104879050143, time 923.2421281337738, total 10
Eyeglasses acc: 0.08055003877608798, iou: 0.10336600211653797, time 362.1768023967743, total 10
Faucet acc: 0.357784748188568, iou: 0.04852232408542201, time 513.1295669078827, total 10
FoldingChair acc: 0.8921471182006343, iou: 0.7934218714469936, time 568.5616366863251, total 10
Globe acc: 0.9162963540345933, iou: 0.8871174587108707, time 900.049608707428, total 10
Kettle acc: 0.4093349020459812, iou: 0.2680787498380493, time 1209.8948454856873, total 10
Keyboard acc: 0.7091105134615916, iou: 0.04838660903591723, time 595.7809982299805, total 10
KitchenPot acc: 0.6465775279309101, iou: 0.39118287491372494, time 1185.2897818088531, total 10
Knife acc: 0.7527008342715623, iou: 0.0719950861193152, time 315.57081484794617, total 10
Lamp acc: 0.2991226044576308, iou: 0.1680502937891491, time 595.1436598300934, total 10
Laptop acc: 0.7701991276411048, iou: 0.3313050242846543, time 953.9898781776428, total 10
Lighter acc: 0.610345431379227, iou: 0.23226401779145278, time 800.5706932544708, total 10
Clock acc: 0.9171256457297507, iou: 0.09988327469410412, time 620.4522416591644, total 10
