
Microwave acc: 0.8602263771914659, iou: 0.29286349116630916, time 857.5450804233551, total 8
Mouse acc: 0.6602222876156895, iou: 0.32348095291823614, time 374.41567373275757, total 6
Oven acc: 0.8656881938396527, iou: 0.0778248779952084, time 1076.2204570770264, total 10
Pen acc: 0.8031583874024427, iou: 0.185074250407151, time 239.92932844161987, total 10
Phone acc: 0.8334486365609759, iou: 0.33121613817397927, time 609.0351943969727, total 10
Pliers acc: 0.05619198338814364, iou: 0.05617001016018232, time 275.4265534877777, total 10
Printer acc: 0.9644092282080553, iou: 0.06836285726679008, time 771.0122532844543, total 10
Refrigerator acc: 0.8202933358124431, iou: 0.31831476650496965, time 853.4348614215851, total 10
Remote acc: 0.9390968180264625, iou: 0.15226900899702306, time 465.6846876144409, total 10
Safe acc: 0.7812965679189716, iou: 0.1722203505089514, time 965.9827196598053, total 10
Scissors acc: 0.8974811295449457, iou: 0.7580228299126047, time 587.5336730480194, total 10
Stapler acc: 0.22990971390551923, iou: 0.1802084772941806, time 565.1308982372284, total 10
StorageFurniture acc: 0.6820486956369162, iou: 0.25061242210699025, time 1340.6408796310425, total 10
Suitcase acc: 0.9509282320206541, iou: 0.2620524835668566, time 993.507208108902, total 10
Switch acc: 0.9097200493888662, iou: 0.005763624437008655, time 611.0803737640381, total 10
Table acc: 0.28871895813284637, iou: 0.15081622490620944, time 1475.8709561824799, total 10
Toaster acc: 0.9689587285206211, iou: 0.05027509246054419, time 932.3491585254669, total 10
Toilet acc: 0.4041074131562758, iou: 0.0713278205049896, time 1247.9022388458252, total 10
TrashCan acc: 0.7472438505373447, iou: nan, time 1133.549324274063, total 10
USB acc: 0.4849320331615635, iou: 0.12310127111980622, time 549.1826212406158, total 10
WashingMachine acc: 0.9463381179237744, iou: 0.22515498988376656, time 927.763560295105, total 9
Window acc: 0.4042644225136943, iou: 0.00043831612737209893, time 644.7907590866089, total 10
TrashCan acc: 0.7472438505373447, iou: 0.19693016249330825, time 1162.0649659633636, total 10
