FoldingChair sp:405.8934886455536
Globe sp:619.8797554969788
Kettle sp:648.6996099948883
Keyboard sp:376.1623730659485
KitchenPot sp:782.9139451980591
Knife sp:209.4529893398285
Lamp sp:163.35000705718994
Laptop sp:746.8051888942719
Lighter sp:646.4180874824524
Microwave sp:1009.6504442691803, total 8
Bottle sp:687.1035571098328, total 10
Box sp:844.6848795413971, total 10
Bucket sp:833.2873728275299, total 10
Camera sp:918.0129787921906, total 10
Cart sp:476.566260099411, total 10
Chair sp:513.3055155277252, total 10
Clock sp:797.639904499054, total 10
CoffeeMachine sp:977.4702970981598, total 10
Dishwasher sp:1714.5619175434113, total 10
Dispenser sp:642.0812866687775, total 10
Display sp:767.22327876091, total 10
Door sp:717.6658186912537, total 10
Eyeglasses sp:267.3479950428009, total 10
Faucet sp:340.79211258888245, total 10
FoldingChair sp:432.49655866622925, total 10
Globe sp:654.5663816928864, total 10
Kettle sp:633.0903379917145, total 10
Keyboard sp:515.3631203174591, total 10
KitchenPot sp:901.3390095233917, total 10
Knife sp:252.33391904830933, total 10
Lamp sp:194.86096358299255, total 10
Laptop sp:865.4087474346161, total 10
Lighter sp:649.4924335479736, total 10
